station_id,ln_nm,stin_nm,from_line,from_direction,to_line,to_direction,floor_sequence,n_steps,n_elevator,n_escalator,guide_text
KR_1_0541,1호선,창동,1호선,녹천,4호선,노원,1F → 3F → 2F → 3F,8,1,0,"[1F] 1호선 녹천 방면 승강장 하차 → 이동통로 방향 휠체어리프트(으)로 2개 층 올라가기 (1F → 3F, 휠체어리프트) → [3F] 이동통로로 이동 → 대합실 방향 휠체어리프트(으)로 1개 층 내려가기 (3F → 2F, 휠체어리프트) → [2F] 대합실로 이동 → 4호선 노원 방면 엘리베이터(으)로 1개 층 올라가기 (2F → 3F, 엘리베이터) → [3F] 4호선 노원 방면 승강장으로 이동 → [3F] 승차 (휠체어칸)"
KR_1_0541,1호선,창동,1호선,녹천,4호선,쌍문,1F → 3F → 2F → 3F,8,1,0,"[1F] 1호선 녹천 방면 승강장 하차 → 이동통로 방향 휠체어리프트(으)로 2개 층 올라가기 (1F → 3F, 휠체어리프트) → [3F] 이동통로로 이동 → 대합실 방향 휠체어리프트(으)로 1개 층 내려가기 (3F → 2F, 휠체어리프트) → [2F] 대합실로 이동 → 4호선 쌍문 방면 엘리베이터(으)로 1개 층 올라가기 (2F → 3F, 엘리베이터) → [3F] 4호선 쌍문 방면 승강장으로 이동 → [3F] 승차 (휠체어칸)"
KR_1_0300,1호선,석계,1호선,성북/신이문,6호선,태릉입구,1F → B2 → B3,7,0,0,"1호선 승강장에서 5번출입구 방면으로 이동 → [1F] 6호선 환승통로 이동 → 휠체어리프트 이용 지상 1층으로 이동(으)로 2개 층 내려가기 (1F → B2, 휠체어리프트) → [B2] 6호선 환승통로 이동 → 휠체어리프트 이용 지하 2층으로 이동(으)로 1개 층 내려가기 (B2 → B3, 휠체어리프트) → [B3] 6호선 태릉입구 방면 승강장 이용 → 6호선 태릉입구 방면 엘리베이터 이용 지하 3층으로 이동 이용 (엘리베이터)"
KR_1_0300,1호선,석계,1호선,성북/신이문,6호선,돌곶이,1F → B2 → B3,7,0,0,"1호선 승강장에서 5번출입구 방면으로 이동 → [1F] 6호선 환승통로 이동 → 휠체어리프트 이용 지상 1층으로 이동(으)로 2개 층 내려가기 (1F → B2, 휠체어리프트) → [B2] 6호선 환승통로 이동 → 휠체어리프트 이용 지하 2층으로 이동(으)로 1개 층 내려가기 (B2 → B3, 휠체어리프트) → [B3] 6호선 돌곶이 방면 승강장 이용 → 6호선 돌곶이 방면 엘리베이터 이용 지하 3층으로 이동 이용 (엘리베이터)"
KR_1_0604,1호선,회기,1호선,외대앞,경의중앙선,청량리,1F → 2F → 1F,6,2,0,"[1F] 1호선 외대앞 방면 승강장 하차 → 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 대합실로 이동 → 경의중앙선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경의중앙선 청량리 방면 승강장으로 이동 → [1F] 승차 (휠체어칸)"
KR_1_0604,1호선,회기,1호선,외대앞,경의중앙선,중랑,1F → 2F → 1F,6,2,0,"[1F] 1호선 외대앞 방면 승강장 하차 → 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 대합실로 이동 → 경의중앙선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경의중앙선 중랑 방면 승강장으로 이동 → [1F] 승차 (휠체어칸)"
KR_1_0604,1호선,회기,1호선,청량리,경의중앙선,청량리,1F → 2F → 1F,6,2,0,"[1F] 1호선 청량리 방면 승강장 하차 → 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 대합실로 이동 → 경의중앙선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경의중앙선 청량리 방면 승강장으로 이동 → [1F] 승차 (휠체어칸)"
KR_1_0604,1호선,회기,1호선,청량리,경의중앙선,중랑,1F → 2F → 1F,6,2,0,"[1F] 1호선 청량리 방면 승강장 하차 → 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 대합실로 이동 → 경의중앙선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경의중앙선 중랑 방면 승강장으로 이동 → [1F] 승차 (휠체어칸)"
KR_1_0604,1호선,회기,1호선,외대앞,경춘선,청량리,1F → 2F → 1F,6,2,0,"[1F] 1호선 외대앞 방면 승강장 하차 → 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 대합실로 이동 → 경춘선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경춘선 청량리 방면 승강장으로 이동 → [1F] 승차 (휠체어칸)"
KR_1_0604,1호선,회기,1호선,외대앞,경춘선,중랑,1F → 2F → 1F,6,2,0,"[1F] 1호선 외대앞 방면 승강장 하차 → 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 대합실로 이동 → 경춘선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경춘선 중랑 방면 승강장으로 이동 → [1F] 승차 (휠체어칸)"
KR_1_0604,1호선,회기,1호선,청량리,경춘선,청량리,1F → 2F → 1F,6,2,0,"[1F] 1호선 청량리 방면 승강장 하차 → 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 대합실로 이동 → 경춘선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경춘선 청량리 방면 승강장으로 이동 → [1F] 승차 (휠체어칸)"
KR_1_0604,1호선,회기,1호선,청량리,경춘선,중랑,1F → 2F → 1F,6,2,0,"[1F] 1호선 청량리 방면 승강장 하차 → 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (1F → 2F, 엘리베이터) → [2F] 대합실로 이동 → 경춘선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경춘선 중랑 방면 승강장으로 이동 → [1F] 승차 (휠체어칸)"
S1_1_0552,1호선,청량리,1호선,회기,경의중앙선, ,B2,4,0,0,[B2] 지하 2층 방향 엘리베이터 이동 → [B2] 지하 2층 대합실로 이동 → [B2] 4번 출입구 방면으로 이동 → [B2] 개집표기 통과 후 경의중앙선 방향으로 이동
S1_1_0552,1호선,청량리,1호선,제기동,경의중앙선, ,B2,4,0,0,[B2] 지하 2층 방향 엘리베이터 이동 → [B2] 지하 2층 대합실로 이동 → [B2] 4번 출입구 방면으로 이동 → [B2] 개집표기 통과 후 경의중앙선 방향으로 이동
S1_1_0367,1호선,신설동,1호선,제기동,2호선,용두,B2 → B1 → 1F → B2,10,3,0,"[B2] 1호선 제기동 방면 승강장 하차 → 1호선 제기동 방면 대합실 방향 내부 엘리베이터(으)로 1개 층 올라가기 (B2 → B1, 엘리베이터) → [B1] 1호선 제기동 방면 대합실로 이동 → [B1] 우대자용 개집표기에서 호출버튼 눌러 통과 요청(비운임구역 진입) → 2번/3번 출입구 사이 외부 엘리베이터(으)로 1개 층 올라가기 (B1 → 1F, 엘리베이터) → [1F] 역사 바깥으로 이동 → 9번 출입구 부근 2호선 용두 방면 엘리베이터(으)로 2개 층 내려가기 (1F → B2, 엘리베이터) → [B2] 2호선 용두 방면 승강장으로 이동 → [B2] 우대자용 개집표기에서 호출버튼 눌러 통과 요청(운임구역 진입) → [B2] 승차 (휠체어칸)"
S1_1_0367,1호선,신설동,1호선,동묘앞,2호선,용두,B2 → B1 → 1F → B2,10,3,0,"[B2] 1호선 동묘앞 방면 승강장 하차 → 1호선 동묘앞 방면 대합실 방향 내부 엘리베이터(으)로 1개 층 올라가기 (B2 → B1, 엘리베이터) → [B1] 1호선 동묘앞 방면 대합실로 이동 → [B1] 우대자용 개집표기에서 호출버튼 눌러 통과 요청(비운임구역 진입) → 4번/5번 출입구 사이 외부 엘리베이터(으)로 1개 층 올라가기 (B1 → 1F, 엘리베이터) → [1F] 역사 바깥으로 이동 → 9번 출입구 부근 2호선 용두 방면 엘리베이터(으)로 2개 층 내려가기 (1F → B2, 엘리베이터) → [B2] 2호선 용두 방면 승강장으로 이동 → [B2] 우대자용 개집표기에서 호출버튼 눌러 통과 요청(운임구역 진입) → [B2] 승차 (휠체어칸)"
S1_1_0367,1호선,신설동,1호선,제기동,우이신설선,보문,B2 → B1 → B2,8,1,0,"[B2] 1호선 제기동 방면 승강장 하차 → 대합실 방향 휠체어리프트(으)로 1개 층 올라가기 (B2 → B1, 휠체어리프트) → [B1] 대합실로 이동 → [B1] 우이신설선 방향 환승통로로 이동 → [B1] 우이신설선 대합실로 이동 → 우이신설선 보문 방면 엘리베이터(으)로 1개 층 내려가기 (B1 → B2, 엘리베이터) → [B2] 우이신설선 보문 방면 승강장으로 이동 → [B2] 승차 (휠체어칸)"
S1_1_0367,1호선,신설동,1호선,동묘앞,우이신설선,보문,B2 → B1 → B2,8,1,0,"[B2] 1호선 동묘앞 방면 승강장 하차 → 대합실 방향 휠체어리프트(으)로 1개 층 올라가기 (B2 → B1, 휠체어리프트) → [B1] 대합실로 이동 → [B1] 우이신설선 방향 환승통로로 이동 → [B1] 우이신설선 대합실로 이동 → 우이신설선 보문 방면 엘리베이터(으)로 1개 층 내려가기 (B1 → B2, 엘리베이터) → [B2] 우이신설선 보문 방면 승강장으로 이동 → [B2] 승차 (휠체어칸)"
S1_1_0161,1호선,동묘앞,1호선,신설동,6호선,신당,B2 → B3,5,1,0,"1호선 신설동 방면 승강장 하차 → [B2] 환승통로로 이동 → 6호선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 6호선 신당 방면 승강장으로 이동 → [B3] 승차 (휠체어칸)"
S1_1_0161,1호선,동묘앞,1호선,신설동,6호선,창신,B2 → B3,5,1,0,"1호선 신설동 방면 승강장 하차 → [B2] 환승통로로 이동 → 6호선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 6호선 창신 방면 승강장으로 이동 → [B3] 승차 (휠체어칸)"
S1_1_0161,1호선,동묘앞,1호선,동대문,6호선,신당,B2 → B3,5,1,0,"1호선 동대문 방면 승강장 하차 → [B2] 환승통로로 이동 → 6호선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 6호선 신당 방면 승강장으로 이동 → [B3] 승차 (휠체어칸)"
S1_1_0161,1호선,동묘앞,1호선,동대문,6호선,창신,B2 → B3,5,1,0,"1호선 동대문 방면 승강장 하차 → [B2] 환승통로로 이동 → 6호선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 6호선 창신 방면 승강장으로 이동 → [B3] 승차 (휠체어칸)"
S1_1_0155,1호선,동대문,1호선,동묘앞,4호선,혜화/동대문역사문화공원,B1 → B4,5,1,0,"[B1] 지하 1층으로 이동 → [B1] 환승통로 이용 → [B1] 4호선 지하 1층으로 이동 → 엘리베이터(으)로 3개 층 내려가기 (B1 → B4, 엘리베이터) → [B4] 지하 4층 4호선 혜화/동대문역사문화공원 방면 승강장 이동"
S1_1_0155,1호선,동대문,1호선,종로5가,4호선,혜화/동대문역사문화공원,B1 → B4,5,1,0,"[B1] 지하 1층으로 이동 → [B1] 환승통로 이용 → [B1] 4호선 지하 1층으로 이동 → 엘리베이터(으)로 3개 층 내려가기 (B1 → B4, 엘리베이터) → [B4] 지하 4층 4호선 혜화/동대문역사문화공원 방면 승강장 이동"
S1_1_0515,1호선,종로3가,1호선,종로5가,3호선,안국,B2 → B4,5,1,0,"[B2] 1호선 종로5가 방면 승강장 하차 → [B2] 3호선 대합실 방향 환승통로로 이동 → 3호선 승강장 방향 엘리베이터(으)로 2개 층 내려가기 (B2 → B4, 엘리베이터) → [B4] 3호선 안국 방면 승강장으로 이동 → [B4] 승차 (휠체어칸)"
S1_1_0515,1호선,종로3가,1호선,종로5가,3호선,을지로3가,B2 → B4,5,1,0,"[B2] 1호선 종로5가 방면 승강장 하차 → [B2] 3호선 대합실 방향 환승통로로 이동 → 3호선 승강장 방향 엘리베이터(으)로 2개 층 내려가기 (B2 → B4, 엘리베이터) → [B4] 3호선 을지로3가 방면 승강장으로 이동 → [B4] 승차 (휠체어칸)"
S1_1_0515,1호선,종로3가,1호선,종각,3호선,안국,B2 → B1 → B2 → B4,9,3,0,"[B2] 1호선 종각 방면 승강장 하차 → 1호선 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (B2 → B1, 엘리베이터) → [B1] 1호선 대합실로 이동 → 종로5가 방면 엘리베이터(으)로 1개 층 내려가기 (B1 → B2, 엘리베이터) → [B2] 종로5가 방면 승강장으로 이동 → [B2] 3호선 대합실 방향 환승통로로 이동 → 3호선 승강장 방향 엘리베이터(으)로 2개 층 내려가기 (B2 → B4, 엘리베이터) → [B4] 3호선 안국 방면 승강장으로 이동 → [B4] 승차 (휠체어칸)"
S1_1_0515,1호선,종로3가,1호선,종각,3호선,을지로3가,B2 → B1 → B2 → B4,9,3,0,"[B2] 1호선 종각 방면 승강장 하차 → 1호선 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (B2 → B1, 엘리베이터) → [B1] 1호선 대합실로 이동 → 종로5가 방면 엘리베이터(으)로 1개 층 내려가기 (B1 → B2, 엘리베이터) → [B2] 종로5가 방면 승강장으로 이동 → [B2] 3호선 대합실 방향 환승통로로 이동 → 3호선 승강장 방향 엘리베이터(으)로 2개 층 내려가기 (B2 → B4, 엘리베이터) → [B4] 3호선 을지로3가 방면 승강장으로 이동 → [B4] 승차 (휠체어칸)"
S1_1_0515,1호선,종로3가,1호선,종로5가,5호선,광화문,B2 → B3 → B4 → B5,10,3,0,"[B2] 1호선 종로5가 방면 승강장 하차 → [B2] 3호선 대합실 방향 환승통로로 이동 → 3호선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 3호선 대합실로 이동 → [B3] 5호선 대합실 방향 환승통로로 이동 → 5호선 환승 엘리베이터(으)로 1개 층 내려가기 (B3 → B4, 엘리베이터) → [B4] 5호선 대합실로 이동 → 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B4 → B5, 엘리베이터) → [B5] 5호선 광화문 방면 승강장으로 이동 → [B5] 승차 (휠체어칸)"
S1_1_0515,1호선,종로3가,1호선,종로5가,5호선,을지로4가,B2 → B3 → B4 → B5,10,3,0,"[B2] 1호선 종로5가 방면 승강장 하차 → [B2] 3호선 대합실 방향 환승통로로 이동 → 3호선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 3호선 대합실로 이동 → [B3] 5호선 대합실 방향 환승통로로 이동 → 5호선 환승 엘리베이터(으)로 1개 층 내려가기 (B3 → B4, 엘리베이터) → [B4] 5호선 대합실로 이동 → 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B4 → B5, 엘리베이터) → [B5] 5호선 을지로4가 방면 승강장으로 이동 → [B5] 승차 (휠체어칸)"
S1_1_0515,1호선,종로3가,1호선,종각,5호선,광화문,B2 → B1 → B2 → B3 → B4 → B5,14,5,0,"[B2] 1호선 종각 방면 승강장 하차 → 1호선 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (B2 → B1, 엘리베이터) → [B1] 1호선 대합실로 이동 → 종로5가 방면 엘리베이터(으)로 1개 층 내려가기 (B1 → B2, 엘리베이터) → [B2] 승강장으로 이동 → [B2] 3호선 대합실 방향 환승통로로 이동 → 3호선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 3호선 대합실로 이동 → [B3] 5호선 대합실 방향 환승통로로 이동 → 5호선 환승 엘리베이터(으)로 1개 층 내려가기 (B3 → B4, 엘리베이터) → [B4] 5호선 대합실로 이동 → 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B4 → B5, 엘리베이터) → [B5] 5호선 광화문 방면 승강장으로 이동 → [B5] 승차 (휠체어칸)"
S1_1_0515,1호선,종로3가,1호선,종각,5호선,을지로4가,B2 → B1 → B2 → B3 → B4 → B5,14,5,0,"[B2] 1호선 종각 방면 승강장 하차 → 1호선 대합실 방향 엘리베이터(으)로 1개 층 올라가기 (B2 → B1, 엘리베이터) → [B1] 1호선 대합실로 이동 → 종로5가 방면 엘리베이터(으)로 1개 층 내려가기 (B1 → B2, 엘리베이터) → [B2] 승강장으로 이동 → [B2] 3호선 대합실 방향 환승통로로 이동 → 3호선 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 3호선 대합실로 이동 → [B3] 5호선 대합실 방향 환승통로로 이동 → 5호선 환승 엘리베이터(으)로 1개 층 내려가기 (B3 → B4, 엘리베이터) → [B4] 5호선 대합실로 이동 → 승강장 방향 엘리베이터(으)로 1개 층 내려가기 (B4 → B5, 엘리베이터) → [B5] 5호선 을지로4가 방면 승강장으로 이동 → [B5] 승차 (휠체어칸)"
S1_1_0347,1호선,시청,1호선,서울역,2호선,을지로입구,B1 → B2 → B3,8,2,0,"서울역 방면 승강장 → [B1] 지하 1층으로 이동 → 개집표기 통과 후 엘리베이터(으)로 1개 층 내려가기 (B1 → B2, 엘리베이터) → [B2] 지하 2층 종각 방면 승강장으로 이동 → [B2] 환승통로 이동 → 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 지하 3층으로 이동 → [B3] 을지로입구 방면 승강장으로 이동"
S1_1_0347,1호선,시청,1호선,서울역,2호선,충정로,B1 → B2 → B3,8,2,0,"서울역 방면 승강장 → [B1] 지하 1층으로 이동 → 개집표기 통과 후 엘리베이터(으)로 1개 층 내려가기 (B1 → B2, 엘리베이터) → [B2] 지하 2층 종각 방면 승강장으로 이동 → [B2] 환승통로 이동 → 엘리베이터(으)로 1개 층 내려가기 (B2 → B3, 엘리베이터) → [B3] 지하 3층으로 이동 → [B3] 충정로 방면 승강장으로 이동"
S1_1_0347,1호선,시청,1호선,종각,2호선,을지로입구,B3,5,0,0,종각 방면 승강장 → 환승통로 이동 → [B3] 지하 3층으로 이동 → [B3] 을지로입구 방면 승강장으로 이동 → 엘리베이터 이용 (엘리베이터)
S1_1_0347,1호선,시청,1호선,종각,2호선,충정로,B3,5,0,0,종각 방면 승강장 → 환승통로 이동 → [B3] 지하 3층으로 이동 → [B3] 충정로 방면 승강장으로 이동 → 엘리베이터 이용 (엘리베이터)
S1_1_0296,1호선,서울역,1호선,시청,4호선,회현,B2,11,0,0,[B2] 1호선 시청 방면 승강장 하차 → [B2] 엘리베이터로 (B1) 대합실 이동 → [B2] 장애인 게이트에서 콜 버튼 눌러 4호선 환승을 위한 게이트 통과 요청 → [B2] 게이트 통과후 (B1) GTX-A 대합실로 이동(비운임구역 진입) → [B2] GTX-A 대합실에서 4호선 12번 출구 방면 (B1) 대합실로 이동 → [B2] 12번 출구 근처 4호선 승강장 엘레베이터 앞 게이트에서 4호선 환승을 위한 게이트 통과 요청 → [B2] 4호선 게이트 통과(운임구역 진입) → [B2] 4호선 승강장 엘레베이터 탑승 → [B2] 4호선 회현 방면 승강장으로 이동 → [B2] 승차(휠체어칸) → 시청방면 승강장 4-4 부근 승강장 엘리베이터 이용 (엘리베이터)
S1_1_0296,1호선,서울역,1호선,시청,4호선,숙대입구,B2,11,0,0,[B2] 1호선 시청 방면 승강장 하차 → [B2] 엘리베이터로 (B1) 대합실 이동 → [B2] 장애인 게이트에서 콜 버튼 눌러 4호선 환승을 위한 게이트 통과 요청 → [B2] 게이트 통과후 (B1) GTX-A 대합실로 이동(비운임구역 진입) → [B2] GTX-A 대합실에서 4호선 12번 출구 방면 (B1) 대합실로 이동 → [B2] 12번 출구 근처 4호선 승강장 엘레베이터 앞 게이트에서 4호선 환승을 위한 게이트 통과 요청 → [B2] 4호선 게이트 통과(운임구역 진입) → [B2] 4호선 승강장 엘레베이터 탑승 → [B2] 4호선 숙대입구 방면 승강장으로 이동 → [B2] 승차(휠체어칸) → 시청방면 승강장 4-4 부근 승강장 엘리베이터 이용 (엘리베이터)
S1_1_0296,1호선,서울역,1호선,남영,4호선,회현,B2,11,0,0,[B2] 1호선 남영 방면 승강장 하차 → [B2] 엘리베이터로 (B1) 대합실 이동 → [B2] 장애인 게이트에서 콜 버튼 눌러 4호선 환승을 위한 게이트 통과 요청 → [B2] 게이트 통과후 (B1) GTX-A 대합실로 이동(비운임구역 진입) → [B2] GTX-A 대합실에서 4호선 12번 출구 방면 (B1) 대합실로 이동 → [B2] 12번 출구 근처 4호선 승강장 엘레베이터 앞 게이트에서 4호선 환승을 위한 게이트 통과 요청 → [B2] 4호선 게이트 통과(운임구역 진입) → [B2] 4호선 승강장 엘레베이터 탑승 → [B2] 4호선 회현 방면 승강장으로 이동 → [B2] 승차(휠체어칸) → 남영방면 승강장 7-1 부근 승강장 엘리베이터 이용 (엘리베이터)
S1_1_0296,1호선,서울역,1호선,남영,4호선,숙대입구,B2,11,0,0,[B2] 1호선 남영 방면 승강장 하차 → [B2] 엘리베이터로 (B1) 대합실 이동 → [B2] 장애인 게이트에서 콜 버튼 눌러 4호선 환승을 위한 게이트 통과 요청 → [B2] 게이트 통과후 (B1) GTX-A 대합실로 이동(비운임구역 진입) → [B2] GTX-A 대합실에서 4호선 12번 출구 방면 (B1) 대합실로 이동 → [B2] 12번 출구 근처 4호선 승강장 엘레베이터 앞 게이트에서 4호선 환승을 위한 게이트 통과 요청 → [B2] 4호선 게이트 통과(운임구역 진입) → [B2] 4호선 승강장 엘레베이터 탑승 → [B2] 4호선 숙대입구 방면 승강장으로 이동 → [B2] 승차(휠체어칸) → 남영방면 승강장 7-1 부근 승강장 엘리베이터 이용 (엘리베이터)
S1_1_0296,1호선,서울역,1호선,시청,경의중앙선,신촌,B2 → 1F → 2F → 1F,9,2,0,"[B2] 1호선 남영 방면 승강장 하차 → [B2] 엘리베이터로 (B1) 대합실로 이동 → [B2] 2번 출구 외부 1호기 엘리베이터로 이동 → [B2] 외부 1호기 엘리베이터로 (1F) 지상 이동 → 시청방면 승강장 4-4 부근 승강장 엘리베이터(으)로 2개 층 올라가기 (B2 → 1F, 엘리베이터) → [1F] 지상에서 (2F) 경의중앙선 역사로 이동 (경의중앙선에서는 지상 대합실을 2층, 승강장을 1층으로 구분) → 경의중앙선 역사에서 승강장 엘리베이터(으)로 1개 층 내려가기 (2F → 1F, 엘리베이터) → [1F] 경의중앙선 신촌 방면 승강장으로 이동 → [1F] 승차(휠체어칸)"
